AVALIAÇÃO;REDE;ANO ESCOLAR;COMPONENTE CURRICULAR;Habilidade - Posição (Código);Habilidade - Descrição;Habilidade - Acerto %;Habilidade - Faixa
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;H 01 (D001_M);Identificar a localização ou a movimentação de pessoas ou objetos em uma representação plana do espaço.;0;Baixo
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;H 02 (D002_M);Reconhecer características do sistema de numeração decimal.;42;Médio Baixo
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;H 03 (D004_M);Executar adição ou subtração com números naturais.;42;Médio Baixo
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;H 04 (D005_M);Utilizar números naturais, envolvendo diferentes significados da adição ou da subtração, na resolução de problemas.;33;Baixo
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;H 05 (D009_M);Identificar informações apresentadas em tabelas ou gráficos.;58;Médio Baixo
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;H 07 (D018_M);Determinar termos ausentes em sequências de números naturais.;42;Médio Baixo
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;H 06 (D013_M);Identificar números naturais segundo critérios de ordem.;50;Médio Baixo
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;H 09 (D021_M);Utilizar informações apresentadas em tabelas ou gráficos na resolução de problemas.;17;Baixo
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;H 08 (D020_M);Corresponder figuras tridimensionais às suas planificações.;25;Baixo
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;H 10 (D025_M);Utilizar área de figuras bidimensionais na resolução de problema.;25;Baixo
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;H 11 (D026_M);Corresponder números racionais a pontos da reta numérica.;25;Baixo
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;H 13 (D030_M);Utilizar conversão entre unidades de medida, na resolução de problema.;0;Baixo
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;H 12 (D029_M);Reconhecer fração como representação associada a diferentes significados.;8;Baixo
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;H 14 (D031_M);Utilizar números naturais e racionais, envolvendo diferentes significados da adição ou da subtração, na resolução de problemas.;33;Baixo
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;H 15 (D079_M);Utilizar números racionais, envolvendo diferentes significados da adição ou da subtração, na resolução de problemas.;33;Baixo
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;H 16 (D086_M);Executar multiplicação ou divisão com números naturais.;21;Baixo
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;H 17 (D122_M);Utilizar cálculos envolvendo a igualdade de uma operação em que um dos termos é desconhecido na resolução de problemas.;33;Baixo
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;H 19 (D127_M);Reconhecer e nomear polígonos de acordo com as características dos seus lados, vértices e ângulos internos.;75;Médio Alto
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;H 18 (D126_M);Identificar simetrias ou eixos de simetria em figuras geométricas planas.;17;Baixo
