AVALIAÇÃO;REDE;ANO ESCOLAR;COMPONENTE CURRICULAR;Habilidade - Posição (Código);Habilidade - Descrição;Habilidade - Acerto %;Habilidade - Faixa
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;H 02 (D017_P);Reconhecer o gênero de um texto.;75;Médio Alto
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;H 01 (D016_P);Identificar a finalidade de textos de diferentes gêneros.;79;Médio Alto
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;H 03 (D019_P);Reconhecer formas de tratar uma informação na comparação de textos que tratam do mesmo tema.;42;Médio Baixo
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;H 04 (D021_P);Localizar informação explícita.;44;Médio Baixo
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;H 05 (D022_P);Inferir o sentido de palavra ou expressão a partir do contexto.;58;Médio Baixo
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;H 06 (D023_P);Inferir informações em textos.;56;Médio Baixo
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;H 08 (D028_P);Reconhecer o assunto de um texto lido.;50;Médio Baixo
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;H 07 (D025_P);Reconhecer efeitos de sentido decorrentes do uso ou função da pontuação e de outras notações.;17;Baixo
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;H 10 (D037_P);Reconhecer as relações entre partes de um texto, identificando os recursos coesivos que contribuem para a sua continuidade.;33;Baixo
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;H 09 (D030_P);Reconhecer os elementos que compõem uma narrativa e o conflito gerador.;53;Médio Baixo
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;H 11 (D038_P);Distinguir um fato da opinião.;25;Baixo
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;H 12 (D039_P);Reconhecer o sentido das relações lógico-discursivas em um texto.;67;Médio Alto
AVALIE.CE 2025.1;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;H 13 (D044_P);Identificar marcas linguísticas em um texto.;8;Baixo
